date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:05	29487/29487	---M-Z	200	added ('OK')	text/html	etag:%22732f-5d1226a5-e254109;gz%22	https://jthemes.net/themes/html/medservices/	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/index.html	(from )
11:45:06	711/711	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202026%2006:15:04%20GMT	https://jthemes.net/robots.txt		(from )
11:45:06	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5cd16d3a-10b13879;;;%22	https://jthemes.net/themes/html/medservices/assests/images/icons/favicon.ico	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/images/icons/favicon.ico	(from https://jthemes.net/themes/html/medservices/)
11:45:06	4777/4777	---M--	200	added ('OK')	image/png	etag:%2212a9-5cf49af4-10b13871;;;%22	https://jthemes.net/themes/html/medservices/assests/images/icons/apple-touch-icon-152x152.png	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/images/icons/apple-touch-icon-152x152.png	(from https://jthemes.net/themes/html/medservices/)
11:45:07	4157/4157	---M--	200	added ('OK')	image/png	etag:%22103d-5cf49aee-10b13870;;;%22	https://jthemes.net/themes/html/medservices/assests/images/icons/apple-touch-icon-120x120.png	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/images/icons/apple-touch-icon-120x120.png	(from https://jthemes.net/themes/html/medservices/)
11:45:07	2838/2838	---M--	200	added ('OK')	image/png	etag:%22b16-5cf49af8-10b13872;;;%22	https://jthemes.net/themes/html/medservices/assests/images/icons/apple-touch-icon-76x76.png	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/images/icons/apple-touch-icon-76x76.png	(from https://jthemes.net/themes/html/medservices/)
11:45:08	2436/2436	---M--	200	added ('OK')	image/png	etag:%22984-5cf49af4-10b13873;;;%22	https://jthemes.net/themes/html/medservices/assests/images/icons/apple-touch-icon.png	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/images/icons/apple-touch-icon.png	(from https://jthemes.net/themes/html/medservices/)
11:45:08	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/Users/sharm/Desktop/vardaan%20hospital%20website/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://jthemes.net/themes/html/medservices/)
11:45:09	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-58b689a0-f109ecc;gz%22	https://jthemes.net/themes/html/medservices/assests/css/owl.carousel.min.css	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/css/owl.carousel.min.css	(from https://jthemes.net/themes/html/medservices/)
11:45:09	936/936	---M-Z	200	added ('OK')	text/css	etag:%223a8-58b689a0-f109ecd;gz%22	https://jthemes.net/themes/html/medservices/assests/css/owl.theme.default.min.css	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/css/owl.theme.default.min.css	(from https://jthemes.net/themes/html/medservices/)
11:45:09	42774/42774	---M-Z	200	added ('OK')	text/css	etag:%22a716-5411edb4-f109eca;gz%22	https://jthemes.net/themes/html/medservices/assests/css/animate.min.css	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/css/animate.min.css	(from https://jthemes.net/themes/html/medservices/)
11:45:10	142041/142041	---M-Z	200	added ('OK')	text/css	etag:%2222ad9-5b478056-f109ecb;gz%22	https://jthemes.net/themes/html/medservices/assests/css/bootstrap.min.css	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/css/bootstrap.min.css	(from https://jthemes.net/themes/html/medservices/)
11:45:10	19349/19349	---M-Z	200	added ('OK')	text/css	etag:%224b95-5cfcc42a-f109ece;gz%22	https://jthemes.net/themes/html/medservices/assests/css/style.css	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/css/style.css	(from https://jthemes.net/themes/html/medservices/)
11:45:11	63344/63344	---M--	200	added ('OK')	image/png	etag:%22f770-5cfcc13e-102eeb21;;;%22	https://jthemes.net/themes/html/medservices/assests/images/hero-logo.png	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/images/hero-logo.png	(from https://jthemes.net/themes/html/medservices/)
11:45:13	87890/87890	---M-Z	200	added ('OK')	text/html	etag:%2215752-5d010d14-11abea62;gz%22	https://jthemes.net/themes/html/medservices/files/demo-1.html	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/files/demo-1.html	(from https://jthemes.net/themes/html/medservices/)
11:45:13	89115/89115	---M-Z	200	added ('OK')	text/html	etag:%2215c1b-5d10b132-11abea66;gz%22	https://jthemes.net/themes/html/medservices/files/demo-2.html	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/files/demo-2.html	(from https://jthemes.net/themes/html/medservices/)
11:45:14	67047/67047	---M--	200	added ('OK')	image/jpeg	etag:%22105e7-5cf49ad6-102eeb23;;;%22	https://jthemes.net/themes/html/medservices/assests/images/layout-1.jpg	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/images/layout-1.jpg	(from https://jthemes.net/themes/html/medservices/)
11:45:14	84883/84883	---M-Z	200	added ('OK')	text/html	etag:%2214b93-5d011239-11abea67;gz%22	https://jthemes.net/themes/html/medservices/files/demo-3.html	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/files/demo-3.html	(from https://jthemes.net/themes/html/medservices/)
11:45:14	63325/63325	---M--	200	added ('OK')	image/jpeg	etag:%22f75d-5cf49ad8-102eeb27;;;%22	https://jthemes.net/themes/html/medservices/assests/images/layout-2.jpg	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/assests/images/layout-2.jpg	(from https://jthemes.net/themes/html/medservices/)
11:45:15	86176/86176	---M-Z	200	added ('OK')	text/html	etag:%22150a0-5d10b19c-11abea68;gz%22	https://jthemes.net/themes/html/medservices/files/demo-4.html	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/files/demo-4.html	(from https://jthemes.net/themes/html/medservices/)
11:45:15	86073/86073	---M-Z	200	added ('OK')	text/html	etag:%2215039-5d011244-11abea69;gz%22	https://jthemes.net/themes/html/medservices/files/demo-5.html	C:/Users/sharm/Desktop/vardaan%20hospital%20website/jthemes.net/themes/html/medservices/files/demo-5.html	(from https://jthemes.net/themes/html/medservices/)
